sdg,indicator,unit,location,year,value,is_projected,ci_lower,ci_upper
SDG2 - Zero Hunger,Daily Average Milk Collection (thousand litres),Thousand Litres,Arvi,2024,0.24,0,,
SDG2 - Zero Hunger,Daily Average Milk Collection (thousand litres),Thousand Litres,Wardha,2024,1.08,0,,
SDG2 - Zero Hunger,Dairy Cooperative Societies,Number,Arvi,2024,5,0,,
SDG2 - Zero Hunger,Dairy Cooperative Societies,Number,Wardha,2024,13,0,,
SDG2 - Zero Hunger,Dairy Society Members,Number,Arvi,2024,175,0,,
SDG2 - Zero Hunger,Dairy Society Members,Number,Wardha,2024,450,0,,
SDG2 - Zero Hunger,Female Agri Labourers (Main) (Total) — Workers by Industry,,Arvi,2011,3068,0,,
SDG2 - Zero Hunger,Female Agri Labourers (Main) (Total) — Workers by Industry,,Wardha,2011,21468,0,,
SDG2 - Zero Hunger,Female Agricultural Labourers (Rural) — Workers by Industry,,Arvi,1971,133,0,,
SDG2 - Zero Hunger,Female Agricultural Labourers (Rural) — Workers by Industry,,Wardha,1971,125,0,,
SDG2 - Zero Hunger,Female Agricultural Labourers (Total) — Workers by Industry,,Arvi,1971,149,0,,
SDG2 - Zero Hunger,Female Agricultural Labourers (Total) — Workers by Industry,,Wardha,1971,162,0,,
SDG2 - Zero Hunger,Female Agricultural Labourers (Urban) — Workers by Industry,,Arvi,1971,16,0,,
SDG2 - Zero Hunger,Female Cultivators (Main) (Rural) — Workers by Industry,,Wardha,1971,28516,0,,
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Arvi,2011,278,0,,
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,1971,30795,0,,
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2011,2583,0,,
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2025,0,1,0,-7291.2
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2029,0,1,0,-10112.4
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2037,0,1,0,-15754.8
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2047,0,1,0,-22807.8
SDG2 - Zero Hunger,Female Cultivators (Main) (Total) — Workers by Industry,,Wardha,2060,0,1,0,-31976.7
SDG2 - Zero Hunger,Female Cultivators (Rural) — Workers by Industry,,Arvi,1971,24808,0,,
SDG2 - Zero Hunger,Female Cultivators (Total) — Workers by Industry,,Arvi,1971,26324,0,,
SDG2 - Zero Hunger,Female Cultivators (Urban) — Workers by Industry,,Arvi,1971,1516,0,,
SDG2 - Zero Hunger,First Aid Centres,Number,Arvi,2024,14,0,,
SDG2 - Zero Hunger,First Aid Centres,Number,Wardha,2024,9,0,,
SDG2 - Zero Hunger,"Garlic (per 100g, urban)",\u20b9/100g,Wardha,2024,23.3,0,,
SDG2 - Zero Hunger,Geographic Area (ha),Hectares,Arvi,2024,111008,0,,
SDG2 - Zero Hunger,Geographic Area (ha),Hectares,Wardha,2024,81589,0,,
SDG2 - Zero Hunger,"Gram (Chickpea) Area (district, ha)",Hectares,Wardha,2024,43740,0,,
SDG2 - Zero Hunger,Gram (Chickpea) Area (ha),Hectares,Arvi,2024,4148.2,0,,
SDG2 - Zero Hunger,"Gram Dal (per kg, urban)",\u20b9/kg,Wardha,2024,76.4,0,,
SDG2 - Zero Hunger,Gram Productivity (kg/ha),Kg/Ha,Arvi,2024,1226,0,,
SDG2 - Zero Hunger,Gross Cropped Area (ha),Hectares,Arvi,2024,50991,0,,
SDG2 - Zero Hunger,Gross Cropped Area (ha),Hectares,Wardha,2024,63934,0,,
SDG2 - Zero Hunger,"Groundnut Oil (per kg, urban)",\u20b9/kg,Wardha,2024,185.4,0,,
SDG2 - Zero Hunger,Male Agri Labourers (Main) (Total) — Workers by Industry,,Arvi,2011,4073,0,,
SDG2 - Zero Hunger,Male Agri Labourers (Main) (Total) — Workers by Industry,,Wardha,2011,26168,0,,
SDG2 - Zero Hunger,Male Agricultural Labourers (Rural) — Workers by Industry,,Arvi,1971,1497,0,,
SDG2 - Zero Hunger,Male Agricultural Labourers (Rural) — Workers by Industry,,Wardha,1971,1340,0,,
SDG2 - Zero Hunger,Male Agricultural Labourers (Total) — Workers by Industry,,Arvi,1971,1721,0,,
SDG2 - Zero Hunger,Male Agricultural Labourers (Total) — Workers by Industry,,Wardha,1971,2017,0,,
SDG2 - Zero Hunger,Male Agricultural Labourers (Urban) — Workers by Industry,,Arvi,1971,224,0,,
SDG2 - Zero Hunger,Male Cultivators (Main) (Rural) — Workers by Industry,,Wardha,1971,30035,0,,
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Arvi,2011,892,0,,
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,1971,32133,0,,
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2011,6333,0,,
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2025,0,1,0,-2697
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2029,0,1,0,-5277
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2037,0,1,0,-10437
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2047,0,1,0,-16887
SDG2 - Zero Hunger,Male Cultivators (Main) (Total) — Workers by Industry,,Wardha,2060,0,1,0,-25272
