SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2017,10,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2018,3,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2019,11,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2020,11,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2021,10,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2022,22,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2023,7,Number,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2024,7,Number,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2016,85.14,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2017,86.97,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2018,88.76,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2019,88.3,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2020,90.15,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2021,91.82,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2022,91.96,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2023,92.17,%,MahaSDB,no
1,No Poverty,SDG1.1.3.3,Persons provided employment as % of persons who demanded employment under MGNREGA & EGS,Wardha,District,2024,89.21,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2016,60.57,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2017,56.57,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2018,70.16,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2019,59.41,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2020,73.8,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2021,73.43,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2022,73.06,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2023,80.29,%,MahaSDB,no
1,No Poverty,SDG1.1.3.4,Proportion of Self Help Groups (SHGs) under bank linkage programme,Wardha,District,2024,94.31,%,MahaSDB,no
